time,normalised_flux,tau
0.0,-0.0,0.0
70.07007007007007,-0.0,0.0014910910910910908
140.14014014014015,-0.0,0.0029821821821821816
210.21021021021022,-0.0,0.004473273273273273
280.2802802802803,-0.0,0.005964364364364363
350.35035035035037,1.3444611229031572e-13,0.007455455455455454
420.42042042042044,2.2766208347826796e-11,0.008946546546546546
490.4904904904905,8.935960853375835e-10,0.010437637637637637
560.5605605605606,1.4535887914806684e-08,0.011928728728728726
630.6306306306307,1.2932981030247854e-07,0.013419819819819817
700.7007007007007,7.489554845444277e-07,0.014910910910910909
770.7707707707708,3.1625020884894497e-06,0.016402002002001998
840.8408408408409,1.0516475289779007e-05,0.01789309309309309
910.910910910911,2.907000228372309e-05,0.01938418418418418
980.980980980981,6.945484529638216e-05,0.020875275275275273
1051.0510510510512,0.0001476238078766942,0.022366366366366363
1121.1211211211212,0.0002852654082058115,0.023857457457457452
1191.1911911911911,0.0005095980172938763,0.025348548548548545
1261.2612612612613,0.0008526150704164485,0.026839639639639635
1331.3313313313315,0.001349907678276409,0.02833073073073073
1401.4014014014015,0.002039254423793653,0.029821821821821817
1471.4714714714714,0.002959148956997594,0.03131291291291291
1541.5415415415416,0.004147391819712386,0.032804004004003996
1611.6116116116118,0.005639853296430259,0.03429509509509509
1681.6816816816818,0.007469459275612107,0.03578618618618618
1751.7517517517517,0.009665412821105474,0.03727727727727727
1821.821821821822,0.01225266356245698,0.03876836836836836
1891.891891891892,0.015251598465313654,0.040259459459459454
1961.961961961962,0.018677921593105214,0.04175055055055055
2032.032032032032,0.02254268201785532,0.04324164164164163
2102.1021021021024,0.026852442798553727,0.044732732732732726
2172.1721721721724,0.03160953671915082,0.04622382382382382
2242.2422422422424,0.036812384589795716,0.047714914914914905
2312.3123123123123,0.042455856367211574,0.04920600600600599
2382.3823823823823,0.0485316559676131,0.05069709709709709
2452.4524524524527,0.05502871822582179,0.052188188188188184
2522.5225225225226,0.06193359717371124,0.05367927927927927
2592.5925925925926,0.06923083740752733,0.055170370370370356
2662.662662662663,0.07690332563610384,0.05666146146146146
2732.732732732733,0.08493262243766897,0.05815255255255255
2802.802802802803,0.09329926588568538,0.059643643643643635
2872.872872872873,0.10198304606130307,0.06113473473473472
2942.942942942943,0.11096325082020296,0.06262582582582582
3013.0130130130133,0.12021888459846834,0.06411691691691691
3083.0830830830832,0.1297288595301088,0.06560800800800799
3153.153153153153,0.13947216703223034,0.06709909909909909
3223.2232232232236,0.14942802100350017,0.06859019019019018
3293.2932932932936,0.1595759796005725,0.07008128128128127
3363.3633633633635,0.16989604639948896,0.07157237237237236
3433.4334334334335,0.18036875794745755,0.07306346346346344
3503.5035035035035,0.19097525002054072,0.07455455455455454
3573.573573573574,0.20169731260344373,0.07604564564564563
3643.643643643644,0.21251743563052428,0.07753673673673672
3713.713713713714,0.22341883557856146,0.07902782782782782
3783.783783783784,0.23438548710022283,0.08051891891891891
3853.853853853854,0.24540212109164827,0.08201001001001
3923.923923923924,0.2564542348471197,0.0835011011011011
3993.993993993994,0.2675280930142563,0.08499219219219217
4064.064064064064,0.2786107230909655,0.08648328328328327
4134.134134134134,0.28968990027807245,0.08797437437437435
4204.204204204205,0.3007541339595304,0.08946546546546545
4274.274274274275,0.3117926598885697,0.09095655655655656
4344.344344344345,0.32279540697845505,0.09244764764764764
4414.414414414415,0.3337529823718637,0.09393873873873873
4484.484484484485,0.3446566490446951,0.09542982982982981
4554.554554554555,0.355498294599403,0.0969209209209209
4624.624624624625,0.366270414264643,0.09841201201201198
4694.694694694695,0.37696608048425667,0.09990310310310309
4764.764764764765,0.3875789196595056,0.10139419419419418
4834.834834834835,0.39810308690795687,0.10288528528528529
4904.904904904905,0.4085332388870387,0.10437637637637637
4974.974974974975,0.41886451046407724,0.10586746746746746
5045.045045045045,0.429092488064618,0.10735855855855854
5115.115115115115,0.43921318639052687,0.10884964964964963
5185.185185185185,0.44922302499147804,0.11034074074074071
5255.255255255255,0.45911880448383413,0.11183183183183182
5325.325325325326,0.46889768641312846,0.11332292292292293
5395.395395395396,0.4785571703496684,0.11481401401401402
5465.465465465466,0.48809507469386537,0.1163051051051051
5535.535535535536,0.49750951710191216,0.11779619619619619
5605.605605605606,0.5067988939429094,0.11928728728728727
5675.675675675676,0.5159618673160099,0.12077837837837835
5745.745745745746,0.5249973386757885,0.12226946946946944
5815.815815815816,0.5339044422604935,0.12376056056056052
5885.885885885886,0.5426825228920362,0.12525165165165164
5955.955955955957,0.5513311231791855,0.12674274274274275
6026.026026026027,0.5598499732602483,0.12823383383383383
6096.0960960960965,0.5682389690174215,0.1297249249249249
6166.1661661661665,0.5764981721274782,0.13121601601601598
6236.236236236236,0.5846277830632853,0.1327071071071071
6306.306306306306,0.5926281464732166,0.13419819819819817
6376.376376376376,0.6004997232245403,0.13568928928928925
6446.446446446447,0.60824309822574,0.13718038038038036
6516.516516516517,0.6158589531347162,0.13867147147147144
6586.586586586587,0.6233480792075321,0.14016256256256254
6656.656656656657,0.630711341313486,0.14165365365365365
6726.726726726727,0.6379496910270926,0.14314474474474473
6796.796796796797,0.6450641615474095,0.1446358358358358
6866.866866866867,0.6520558344434184,0.1461269269269269
6936.936936936937,0.6589258710605252,0.147618018018018
7007.007007007007,0.6656754764229218,0.14910910910910907
7077.077077077078,0.6723059007504737,0.15060020020020018
7147.147147147148,0.6788184543320009,0.15209129129129126
7217.217217217218,0.685214468583858,0.15358238238238237
7287.287287287288,0.6914953179181317,0.15507347347347344
7357.357357357358,0.6976624089506961,0.15656456456456455
