time,flux,normalised_flux,yCO2_bl,pressure,tau
0.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,48.221,0.0
10.0,7.716585037275399e-08,0.0011387593423761299,6.194999999999997e-07,49.109,0.00021279999999999994
20.0,7.716585037275399e-08,0.0011387593423761299,6.194999999999997e-07,49.775,0.0004255999999999999
30.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,49.775,0.0006383999999999999
40.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,49.775,0.0008511999999999998
50.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,50.663,0.0010639999999999998
60.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.0012767999999999998
70.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,49.997,0.0014895999999999996
80.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,49.997,0.0017023999999999995
90.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.441,0.0019151999999999995
100.0,-1.065623648004699e-07,-0.0015725724251860857,-8.555000000000005e-07,49.997,0.0021279999999999997
110.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.441,0.0023407999999999997
120.0,-1.4318344633330246e-07,-0.002113000587669675,-1.1495000000000014e-06,50.219,0.0025535999999999996
130.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.0027663999999999996
140.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,49.997,0.002979199999999999
150.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.441,0.0031919999999999995
160.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.003404799999999999
170.0,4.042020733810904e-08,0.0005964929888636842,3.2449999999999833e-07,50.219,0.0036175999999999995
180.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.003830399999999999
190.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.441,0.004043199999999999
200.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,49.997,0.004255999999999999
210.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.441,0.004468799999999999
220.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,50.441,0.004681599999999999
230.00099992752075,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,49.997,0.00489442127845764
240.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.005107199999999999
250.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,50.219,0.005319999999999999
260.0,-1.065623648004699e-07,-0.0015725724251860857,-8.555000000000005e-07,50.219,0.005532799999999999
270.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.441,0.005745599999999999
280.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.441,0.005958399999999998
290.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,50.219,0.006171199999999998
300.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.006383999999999999
310.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.006596799999999999
320.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.006809599999999998
330.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.007022399999999998
340.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,50.219,0.007235199999999999
350.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.441,0.007447999999999999
360.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.007660799999999998
370.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.007873599999999998
380.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.008086399999999999
390.0,3.674564303464305e-09,5.4226635351241764e-05,2.9499999999998616e-08,49.997,0.008299199999999998
400.0,-1.065623648004699e-07,-0.0015725724251860857,-8.555000000000005e-07,50.441,0.008511999999999999
410.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.008724799999999998
420.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.008937599999999999
430.0,4.042020733810904e-08,0.0005964929888636842,3.2449999999999833e-07,50.441,0.009150399999999998
440.0,-1.065623648004699e-07,-0.0015725724251860857,-8.555000000000005e-07,50.219,0.009363199999999999
450.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.009576
460.0,-3.3071078731180437e-08,-0.0004880397181612008,-2.655000000000011e-07,50.219,0.009788799999999997
470.0,4.042020733810904e-08,0.0005964929888636842,3.2449999999999833e-07,49.997,0.010001599999999998
480.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.010214399999999998
490.0,-6.981672176582518e-08,-0.0010303060716736433,-5.605000000000008e-07,50.219,0.010427199999999998
