Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
0, 383.4, 1.0128042251793363, 1.0155377272265664
0, 393.0, 1.0078586557251752, 1.0094891984655763
0, 402.5, 1.0029368108831749, 1.004419445560466
0, 412.4, 0.9977786927407081, 0.9981036031540074
0, 422.8, 0.9923285376630865, 0.9925558312655086
0, 432.6, 0.9871635980688171, 0.9866798223976319
0, 442.5, 0.9819174856623414, 0.9807767752059631
0, 452.8, 0.9764293499433161, 0.9748488984207447
0, 463.1, 0.9709108637137897, 0.968710646130001
0, 473.6, 0.9652542831199671, 0.9633911368015414
0, 482.7, 0.9603268707295947, 0.9584052137243626
0, 492.4, 0.9550491850818539, 0.9531071292413268
0, 503.2, 0.9491424287168958, 0.94732853353543
0, 513.2, 0.9436447277989767, 0.9416195856873822
0, 524.3, 0.9375104812225786, 0.9354536950420954
20000000, 383.4, 1.0232019032723396, 1.026272577996716
20000000, 393.0, 1.0185491295981075, 1.0210332856851132
20000000, 402.5, 1.013924929441324, 1.016053647632595
20000000, 412.4, 1.0090856142060471, 1.0102030508132134
20000000, 422.8, 1.0039801521908687, 1.004823151125402
20000000, 432.6, 0.9991494967513116, 0.9994003597841296
20000000, 442.5, 0.9942507181431348, 0.9939369843951894
20000000, 452.8, 0.9891345614994063, 0.9883376161296699
20000000, 463.1, 0.9839992259851013, 0.9831874938550783
20000000, 473.6, 0.978745111882936, 0.9783778495254868
20000000, 482.7, 0.9741765058085126, 0.97380465478625
20000000, 492.4, 0.9692918217519703, 0.9689922480620154
20000000, 503.2, 0.9638358191446728, 0.9638554216867469
20000000, 513.2, 0.9587682577322081, 0.9587727708533078
20000000, 524.3, 0.9531263189591413, 0.9533797311469159
40000000, 383.4, 1.032738925448138, 1.0357327809425168
40000000, 393.0, 1.0283312985478124, 1.0312467773538208
40000000, 402.5, 1.023955082739686, 1.0264832683227263
40000000, 412.4, 1.0193800228652372, 1.0209290454313424
40000000, 422.8, 1.0145587090863915, 1.015640869388584
40000000, 432.6, 1.010002077796234, 1.0105092966855296
40000000, 442.5, 1.005386423462333, 1.0054293183189222
40000000, 452.8, 1.0005716901068997, 1.000300090027008
40000000, 463.1, 0.995744911301653, 0.9955201592832256
40000000, 473.6, 0.9908128306687622, 0.9907856930545922
40000000, 482.7, 0.9865295437267528, 0.9868745682423763
40000000, 492.4, 0.9819554627354836, 0.9823182711198428
40000000, 503.2, 0.9768532738685504, 0.9776126698602015
40000000, 513.2, 0.9721209452980222, 0.9731413001167769
40000000, 524.3, 0.9668598447663465, 0.9680542110358181
60000000, 393.0, 1.0373667946597736, 1.0401497815685459
