Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
100000000, 513.2, 1.0379812179540207, 1.0065425264217414
100000000, 524.3, 1.0325979921601862, 1.0025062656641603
120000000, 402.5, 1.1023280217486238, 1.058985491898761
120000000, 412.4, 1.0976088677462945, 1.0549636037556704
120000000, 422.8, 1.0926597629423658, 1.0505305179115454
120000000, 432.6, 1.0880049795648201, 1.0462439840970914
120000000, 442.5, 1.0833122475303758, 1.0418837257762035
120000000, 452.8, 1.0784410050079771, 1.03777501037775
120000000, 463.1, 1.0735819883517221, 1.0338054378166028
120000000, 473.6, 1.0686421330408666, 1.0300782859497322
120000000, 482.7, 1.0643726656982577, 1.0270103728047653
120000000, 492.4, 1.059834386827829, 1.023122570083896
120000000, 503.2, 1.0547976869221403, 1.019367991845056
120000000, 513.2, 1.0501500952764398, 1.015744032503809
120000000, 524.3, 1.045010190541732, 1.011736139214893
140000000, 402.5, 1.1115254524863243, 1.0649627263045793
140000000, 412.4, 1.1069819529302583, 1.0619093129446746
140000000, 422.8, 1.1022187097826364, 1.0576414595452142
140000000, 432.6, 1.0977402646043912, 1.0536297545042672
140000000, 442.5, 1.0932267968202851, 1.0495382031905962
140000000, 452.8, 1.0885432025363226, 1.0453690152623876
140000000, 463.1, 1.0838729319121247, 1.0413412475268145
140000000, 473.6, 1.0791265459183133, 1.0378827192527245
140000000, 482.7, 1.0750255580842756, 1.034875297526648
140000000, 492.4, 1.0706676313705341, 1.0314595152140278
140000000, 503.2, 1.0658325878798025, 1.027749229188078
140000000, 513.2, 1.0613724403828628, 1.024380249948781
140000000, 524.3, 1.0564413247281081, 1.0204081632653061
160000000, 412.4, 1.1157824960092007, 1.0679196924391285
160000000, 422.8, 1.111184043816633, 1.0647359454855196
160000000, 432.6, 1.1068616692307955, 1.0605578534309048
160000000, 442.5, 1.1025065900923383, 1.0566356720202874
160000000, 452.8, 1.0979885033947834, 1.0526315789473684
160000000, 463.1, 1.0934844157053327, 1.048767697954903
160000000, 473.6, 1.0889080717481485, 1.0453690152623876
160000000, 482.7, 1.0849549194176944, 1.042535446205171
160000000, 492.4, 1.0807549999945059, 1.0392849719393058
160000000, 503.2, 1.0760963326382558, 1.035625517812759
160000000, 513.2, 1.0717998558713755, 1.0322047894302229
160000000, 524.3, 1.067050743335843, 1.0285949393128986
180000000, 422.8, 1.1196332201541987, 1.071007818357074
180000000, 432.6, 1.115450394622241, 1.067463706233988
