Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
0.0, 394.45, 0.968068929749727, 1.1479738261967627
0.0, 404.04999999999995, 0.9594672303228972, 1.1410314924691922
0.0, 413.65, 0.9508314730262623, 1.1350737797956867
0.0, 423.25, 0.9421614834347811, 1.1287955751213454
0.0, 433.25, 0.933093681005194, 1.121830827911151
0.0, 442.95, 0.9242621261656593, 1.1154489682097044
0.0, 452.45, 0.9155783853441168, 1.108524553818867
0.0, 463.54999999999995, 0.9053889949169638, 1.1016855789357718
0.0, 473.34999999999997, 0.8963541893630896, 1.094570928196147
0.0, 483.54999999999995, 0.886911851434268, 1.087429317094389
0.0, 493.75, 0.8774298013900873, 1.079913606911447
0.0, 503.54999999999995, 0.8682820011214298, 1.0733068584308254
19613611.846621558, 404.04999999999995, 0.9780218548152356, 1.1523392486748099
19613611.846621558, 413.65, 0.9702295586103004, 1.1466574934067195
19613611.846621558, 423.25, 0.9624383454388262, 1.1407711613050422
19613611.846621558, 433.25, 0.95432500703218, 1.1344299489506524
19613611.846621558, 442.95, 0.9464589154584907, 1.1284134506883323
19613611.846621558, 452.45, 0.9387600814442809, 1.122334455667789
19613611.846621558, 463.54999999999995, 0.9297728601349108, 1.1158223610801161
19613611.846621558, 473.34999999999997, 0.9218473731439256, 1.1093854004881296
19613611.846621558, 483.54999999999995, 0.913609417072337, 1.1030222810500772
19613611.846621558, 493.75, 0.9053846261392637, 1.0960105217010083
19613611.846621558, 503.54999999999995, 0.8974966420843383, 1.0896807235480004
39227223.693243116, 404.04999999999995, 0.9938166486596586, 1.1623852144600721
39227223.693243116, 413.65, 0.9866339969297963, 1.157273463719477
39227223.693243116, 423.25, 0.9794695961747839, 1.1514104778353482
39227223.693243116, 433.25, 0.9720275802164768, 1.1457378551787352
39227223.693243116, 442.95, 0.9648307070587196, 1.1399908800729595
39227223.693243116, 452.45, 0.9578045767410177, 1.1341726210729273
39227223.693243116, 463.54999999999995, 0.9496250692625631, 1.128286133363421
39227223.693243116, 473.34999999999997, 0.9424321486683147, 1.122208506340478
39227223.693243116, 483.54999999999995, 0.9349759889071514, 1.1161960040183057
39227223.693243116, 493.75, 0.9275526224172906, 1.1097547442015314
39227223.693243116, 503.54999999999995, 0.9204529971895843, 1.103996467211305
58840835.539864674, 413.65, 1.0009251612548034, 1.1669973159061735
