Number of repeating units,MW polymer / g mol^-1,Solubility EQ / g-sol g-pol^-1,Temperature / K,Temperature / C,Pressure / Pa,Pressure / MPa,Solvent,Polymer
206.37373737373738,21462.86868686869,0.006666216361849787,373,100,1000000.0,1.0,CO2,PS
209.3939393939394,21776.9696969697,0.006664810418436918,373,100,1000000.0,1.0,CO2,PS
212.41414141414143,22091.070707070707,0.006663444486014766,373,100,1000000.0,1.0,CO2,PS
215.43434343434345,22405.171717171717,0.006662116880566177,373,100,1000000.0,1.0,CO2,PS
218.45454545454547,22719.272727272728,0.006660826011278976,373,100,1000000.0,1.0,CO2,PS
221.4747474747475,23033.37373737374,0.006659570374197966,373,100,1000000.0,1.0,CO2,PS
224.4949494949495,23347.47474747475,0.006658348546320679,373,100,1000000.0,1.0,CO2,PS
227.51515151515153,23661.57575757576,0.006657159180287064,373,100,1000000.0,1.0,CO2,PS
230.53535353535355,23975.67676767677,0.006656000999402283,373,100,1000000.0,1.0,CO2,PS
233.55555555555557,24289.77777777778,0.006654872793005116,373,100,1000000.0,1.0,CO2,PS
236.5757575757576,24603.878787878788,0.006653773412332372,373,100,1000000.0,1.0,CO2,PS
239.5959595959596,24917.9797979798,0.0066527017665806674,373,100,1000000.0,1.0,CO2,PS
242.61616161616163,25232.08080808081,0.0066516568193027035,373,100,1000000.0,1.0,CO2,PS
245.63636363636365,25546.18181818182,0.006650637585041043,373,100,1000000.0,1.0,CO2,PS
248.65656565656568,25860.28282828283,0.006649643126260708,373,100,1000000.0,1.0,CO2,PS
251.6767676767677,26174.38383838384,0.006648672550438781,373,100,1000000.0,1.0,CO2,PS
254.69696969696972,26488.48484848485,0.006647725007443525,373,100,1000000.0,1.0,CO2,PS
257.7171717171717,26802.58585858586,0.006646799686999417,373,100,1000000.0,1.0,CO2,PS
260.73737373737373,27116.68686868687,0.006645895816381176,373,100,1000000.0,1.0,CO2,PS
263.75757575757575,27430.78787878788,0.0066450126582988135,373,100,1000000.0,1.0,CO2,PS
266.77777777777777,27744.888888888887,0.006644149508903079,373,100,1000000.0,1.0,CO2,PS
269.7979797979798,28058.989898989897,0.006643305695805816,373,100,1000000.0,1.0,CO2,PS
272.8181818181818,28373.090909090908,0.006642480576453652,373,100,1000000.0,1.0,CO2,PS
275.83838383838383,28687.19191919192,0.006641673536455068,373,100,1000000.0,1.0,CO2,PS
278.85858585858585,29001.29292929293,0.006640883988045142,373,100,1000000.0,1.0,CO2,PS
281.8787878787879,29315.39393939394,0.0066401113686464465,373,100,1000000.0,1.0,CO2,PS
284.8989898989899,29629.49494949495,0.006639355139566996,373,100,1000000.0,1.0,CO2,PS
287.9191919191919,29943.595959595958,0.006638614784733647,373,100,1000000.0,1.0,CO2,PS
290.93939393939394,30257.696969696968,0.006637889809470957,373,100,1000000.0,1.0,CO2,PS
293.95959595959596,30571.79797979798,0.006637179739562997,373,100,1000000.0,1.0,CO2,PS
296.979797979798,30885.89898989899,0.006636484119942774,373,100,1000000.0,1.0,CO2,PS
300.0,31200.0,0.006635802513974392,373,100,1000000.0,1.0,CO2,PS
